id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B|B	B|CD14+ Mono	B|CD8 T	B|DC	B|FCGR3A+ Mono	B|Memory CD4 T	B|NK	B|Naive CD4 T	B|Platelet	CD14+ Mono|B	CD14+ Mono|CD14+ Mono	CD14+ Mono|CD8 T	CD14+ Mono|DC	CD14+ Mono|FCGR3A+ Mono	CD14+ Mono|Memory CD4 T	CD14+ Mono|NK	CD14+ Mono|Naive CD4 T	CD14+ Mono|Platelet	CD8 T|B	CD8 T|CD14+ Mono	CD8 T|CD8 T	CD8 T|DC	CD8 T|FCGR3A+ Mono	CD8 T|Memory CD4 T	CD8 T|NK	CD8 T|Naive CD4 T	CD8 T|Platelet	DC|B	DC|CD14+ Mono	DC|CD8 T	DC|DC	DC|FCGR3A+ Mono	DC|Memory CD4 T	DC|NK	DC|Naive CD4 T	DC|Platelet	FCGR3A+ Mono|B	FCGR3A+ Mono|CD14+ Mono	FCGR3A+ Mono|CD8 T	FCGR3A+ Mono|DC	FCGR3A+ Mono|FCGR3A+ Mono	FCGR3A+ Mono|Memory CD4 T	FCGR3A+ Mono|NK	FCGR3A+ Mono|Naive CD4 T	FCGR3A+ Mono|Platelet	Memory CD4 T|B	Memory CD4 T|CD14+ Mono	Memory CD4 T|CD8 T	Memory CD4 T|DC	Memory CD4 T|FCGR3A+ Mono	Memory CD4 T|Memory CD4 T	Memory CD4 T|NK	Memory CD4 T|Naive CD4 T	Memory CD4 T|Platelet	NK|B	NK|CD14+ Mono	NK|CD8 T	NK|DC	NK|FCGR3A+ Mono	NK|Memory CD4 T	NK|NK	NK|Naive CD4 T	NK|Platelet	Naive CD4 T|B	Naive CD4 T|CD14+ Mono	Naive CD4 T|CD8 T	Naive CD4 T|DC	Naive CD4 T|FCGR3A+ Mono	Naive CD4 T|Memory CD4 T	Naive CD4 T|NK	Naive CD4 T|Naive CD4 T	Naive CD4 T|Platelet	Platelet|B	Platelet|CD14+ Mono	Platelet|CD8 T	Platelet|DC	Platelet|FCGR3A+ Mono	Platelet|Memory CD4 T	Platelet|NK	Platelet|Naive CD4 T	Platelet|Platelet
CPI-SS0703338F5	LGALS9_CD44	simple:O00182	simple:P16070	ENSG00000168961	ENSG00000026508	True	False	True	InnateDB	False	0.34	0.51	0.48	0.499	0.88	0.71	0.23	0.43	0.211	0.41	0.58	0.55	0.569	0.95	0.78	0.3	0.5	0.281	0.24	0.41	0.38	0.399	0.78	0.61	0.13	0.33	0.111	0.778	0.948	0.918	0.938	1.318	1.148	0.668	0.868	0.65	0.56	0.73	0.7	0.719	1.1	0.93	0.45	0.65	0.431	0.29	0.46	0.43	0.449	0.83	0.66	0.18	0.38	0.161	0.28	0.45	0.42	0.439	0.82	0.65	0.17	0.37	0.151	0.22	0.39	0.36	0.379	0.76	0.59	0.11	0.31	0.091	0.271	0.441	0.411	0.431	0.811	0.641	0.161	0.361	0.143
CPI-CS0A66DB1CA	CD8 receptor_LCK	complex:CD8 receptor	simple:P06239		ENSG00000182866	False	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.47	0.92	0.523	0.51	0.97	0.89	0.85	0.0	0.116	0.026	0.476	0.078	0.066	0.526	0.446	0.406	0.0	0.12	0.03	0.48	0.082	0.07	0.53	0.45	0.41	0.0	0.21	0.12	0.57	0.172	0.16	0.62	0.54	0.5	0.0	0.11	0.02	0.47	0.072	0.06	0.52	0.44	0.4	0.0	0.22	0.13	0.58	0.182	0.17	0.63	0.55	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0ABC5C1B8	CD74_MIF	simple:P04233	simple:P14174	ENSG00000019582	ENSG00000240972	True	True	False	I2D,InnateDB-All	False	15.01	15.02	15.06	15.528	15.21	15.24	15.13	15.05	15.161	5.83	5.84	5.88	6.347	6.03	6.06	5.95	5.87	5.981	1.18	1.19	1.23	1.697	1.38	1.41	1.3	1.22	1.331	48.342	48.352	48.392	48.859	48.542	48.572	48.462	48.382	48.493	7.48	7.49	7.53	7.997	7.68	7.71	7.6	7.52	7.631	1.49	1.5	1.54	2.008	1.69	1.72	1.61	1.53	1.641	1.16	1.17	1.21	1.678	1.36	1.39	1.28	1.2	1.311	0.92	0.93	0.97	1.438	1.12	1.15	1.04	0.96	1.071	2.67	2.68	2.72	3.188	2.87	2.9	2.79	2.71	2.821
CPI-SS0ABC5C1B8	CD74_MIF	simple:P04233	simple:P14174	ENSG00000019582	ENSG00000276701	True	True	False	I2D,InnateDB-All	False	15.01	15.02	15.06	15.528	15.21	15.24	15.13	15.05	15.161	5.83	5.84	5.88	6.347	6.03	6.06	5.95	5.87	5.981	1.18	1.19	1.23	1.697	1.38	1.41	1.3	1.22	1.331	48.342	48.352	48.392	48.859	48.542	48.572	48.462	48.382	48.493	7.48	7.49	7.53	7.997	7.68	7.71	7.6	7.52	7.631	1.49	1.5	1.54	2.008	1.69	1.72	1.61	1.53	1.641	1.16	1.17	1.21	1.678	1.36	1.39	1.28	1.2	1.311	0.92	0.93	0.97	1.438	1.12	1.15	1.04	0.96	1.071	2.67	2.68	2.72	3.188	2.87	2.9	2.79	2.71	2.821
CPI-SS0C4E86714	TNFRSF1B_GRN	simple:P20333	simple:P28799	ENSG00000028137	ENSG00000030582	True	True	False	IMEx,InnateDB-All,MINT	False	0.09	0.99	0.08	1.686	0.46	0.07	0.06	0.0	0.173	0.22	1.12	0.21	1.816	0.59	0.2	0.19	0.0	0.303	0.13	1.03	0.12	1.726	0.5	0.11	0.1	0.0	0.213	0.201	1.101	0.191	1.797	0.571	0.181	0.171	0.0	0.283	0.5	1.4	0.49	2.096	0.87	0.48	0.47	0.0	0.583	0.16	1.06	0.15	1.756	0.53	0.14	0.13	0.0	0.243	0.15	1.05	0.14	1.746	0.52	0.13	0.12	0.0	0.233	0.09	0.99	0.08	1.686	0.46	0.07	0.06	0.0	0.173	0.096	0.996	0.086	1.692	0.466	0.076	0.066	0.0	0.179
CPI-SS05D23BCE8	HLA-DPB1_TNFSF13B	simple:HLADPB1	simple:Q9Y275	ENSG00000223865	ENSG00000102524	True	True	False	InnateDB-All	False	4.22	4.72	4.25	4.804	4.64	4.25	0.0	4.22	4.281	2.26	2.76	2.29	2.844	2.68	2.29	0.0	2.26	2.321	0.41	0.91	0.44	0.994	0.83	0.44	0.0	0.41	0.471	22.947	23.447	22.977	23.531	23.368	22.977	0.0	22.947	23.009	2.93	3.43	2.96	3.514	3.35	2.96	0.0	2.93	2.991	0.24	0.74	0.27	0.824	0.66	0.27	0.0	0.24	0.301	0.24	0.74	0.27	0.824	0.66	0.27	0.0	0.24	0.301	0.11	0.61	0.14	0.694	0.53	0.14	0.0	0.11	0.171	0.331	0.831	0.361	0.915	0.751	0.361	0.0	0.331	0.393
CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	ENSG00000204642	ENSG00000131042	False	False	True	curated	False	0.0	0.3	0.0	0.439	1.01	0.23	0.24	0.25	0.291	0.0	0.29	0.0	0.429	1.0	0.22	0.23	0.24	0.281	0.0	0.49	0.0	0.629	1.2	0.42	0.43	0.44	0.481	0.0	0.252	0.0	0.391	0.962	0.182	0.192	0.202	0.243	0.0	0.38	0.0	0.519	1.09	0.31	0.32	0.33	0.371	0.0	0.23	0.0	0.369	0.94	0.16	0.17	0.18	0.221	0.0	0.44	0.0	0.579	1.15	0.37	0.38	0.39	0.431	0.0	0.31	0.0	0.449	1.02	0.24	0.25	0.26	0.301	0.0	0.259	0.0	0.397	0.969	0.189	0.199	0.209	0.25
CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	ENSG00000204642	ENSG00000275463	False	False	True	curated	False	0.0	0.3	0.0	0.439	1.01	0.23	0.24	0.25	0.291	0.0	0.29	0.0	0.429	1.0	0.22	0.23	0.24	0.281	0.0	0.49	0.0	0.629	1.2	0.42	0.43	0.44	0.481	0.0	0.252	0.0	0.391	0.962	0.182	0.192	0.202	0.243	0.0	0.38	0.0	0.519	1.09	0.31	0.32	0.33	0.371	0.0	0.23	0.0	0.369	0.94	0.16	0.17	0.18	0.221	0.0	0.44	0.0	0.579	1.15	0.37	0.38	0.39	0.431	0.0	0.31	0.0	0.449	1.02	0.24	0.25	0.26	0.301	0.0	0.259	0.0	0.397	0.969	0.189	0.199	0.209	0.25
CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	ENSG00000204642	ENSG00000276146	False	False	True	curated	False	0.0	0.3	0.0	0.439	1.01	0.23	0.24	0.25	0.291	0.0	0.29	0.0	0.429	1.0	0.22	0.23	0.24	0.281	0.0	0.49	0.0	0.629	1.2	0.42	0.43	0.44	0.481	0.0	0.252	0.0	0.391	0.962	0.182	0.192	0.202	0.243	0.0	0.38	0.0	0.519	1.09	0.31	0.32	0.33	0.371	0.0	0.23	0.0	0.369	0.94	0.16	0.17	0.18	0.221	0.0	0.44	0.0	0.579	1.15	0.37	0.38	0.39	0.431	0.0	0.31	0.0	0.449	1.02	0.24	0.25	0.26	0.301	0.0	0.259	0.0	0.397	0.969	0.189	0.199	0.209	0.25
CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	ENSG00000204642	ENSG00000277751	False	False	True	curated	False	0.0	0.3	0.0	0.439	1.01	0.23	0.24	0.25	0.291	0.0	0.29	0.0	0.429	1.0	0.22	0.23	0.24	0.281	0.0	0.49	0.0	0.629	1.2	0.42	0.43	0.44	0.481	0.0	0.252	0.0	0.391	0.962	0.182	0.192	0.202	0.243	0.0	0.38	0.0	0.519	1.09	0.31	0.32	0.33	0.371	0.0	0.23	0.0	0.369	0.94	0.16	0.17	0.18	0.221	0.0	0.44	0.0	0.579	1.15	0.37	0.38	0.39	0.431	0.0	0.31	0.0	0.449	1.02	0.24	0.25	0.26	0.301	0.0	0.259	0.0	0.397	0.969	0.189	0.199	0.209	0.25
