id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B|B	B|CD14+ Mono	B|CD8 T	B|DC	B|FCGR3A+ Mono	B|Memory CD4 T	B|NK	B|Naive CD4 T	B|Platelet	CD14+ Mono|B	CD14+ Mono|CD14+ Mono	CD14+ Mono|CD8 T	CD14+ Mono|DC	CD14+ Mono|FCGR3A+ Mono	CD14+ Mono|Memory CD4 T	CD14+ Mono|NK	CD14+ Mono|Naive CD4 T	CD14+ Mono|Platelet	CD8 T|B	CD8 T|CD14+ Mono	CD8 T|CD8 T	CD8 T|DC	CD8 T|FCGR3A+ Mono	CD8 T|Memory CD4 T	CD8 T|NK	CD8 T|Naive CD4 T	CD8 T|Platelet	DC|B	DC|CD14+ Mono	DC|CD8 T	DC|DC	DC|FCGR3A+ Mono	DC|Memory CD4 T	DC|NK	DC|Naive CD4 T	DC|Platelet	FCGR3A+ Mono|B	FCGR3A+ Mono|CD14+ Mono	FCGR3A+ Mono|CD8 T	FCGR3A+ Mono|DC	FCGR3A+ Mono|FCGR3A+ Mono	FCGR3A+ Mono|Memory CD4 T	FCGR3A+ Mono|NK	FCGR3A+ Mono|Naive CD4 T	FCGR3A+ Mono|Platelet	Memory CD4 T|B	Memory CD4 T|CD14+ Mono	Memory CD4 T|CD8 T	Memory CD4 T|DC	Memory CD4 T|FCGR3A+ Mono	Memory CD4 T|Memory CD4 T	Memory CD4 T|NK	Memory CD4 T|Naive CD4 T	Memory CD4 T|Platelet	NK|B	NK|CD14+ Mono	NK|CD8 T	NK|DC	NK|FCGR3A+ Mono	NK|Memory CD4 T	NK|NK	NK|Naive CD4 T	NK|Platelet	Naive CD4 T|B	Naive CD4 T|CD14+ Mono	Naive CD4 T|CD8 T	Naive CD4 T|DC	Naive CD4 T|FCGR3A+ Mono	Naive CD4 T|Memory CD4 T	Naive CD4 T|NK	Naive CD4 T|Naive CD4 T	Naive CD4 T|Platelet	Platelet|B	Platelet|CD14+ Mono	Platelet|CD8 T	Platelet|DC	Platelet|FCGR3A+ Mono	Platelet|Memory CD4 T	Platelet|NK	Platelet|Naive CD4 T	Platelet|Platelet
CPI-SS0703338F5	LGALS9_CD44	simple:O00182	simple:P16070	ENSG00000168961	ENSG00000026508	True	False	True	InnateDB	False	0.983	0.536	0.698	0.614	0.0	0.019	1.0	0.877	1.0	0.923	0.277	0.383	0.361	0.0	0.003	0.999	0.656	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.008	0.0	0.0	0.0	0.0	0.0	0.074	0.0	1.0	0.305	0.005	0.02	0.039	0.0	0.0	0.826	0.074	1.0	0.999	0.761	0.855	0.775	0.0	0.061	1.0	0.963	1.0	0.999	0.833	0.911	0.822	0.002	0.081	1.0	0.97	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.979	0.774	0.845	0.777	0.017	0.163	0.985	0.922	1.0
CPI-CS0A66DB1CA	CD8 receptor_LCK	complex:CD8 receptor	simple:P06239		ENSG00000182866	False	True	False	curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.013	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.982	1.0	0.001	0.989	1.0	0.0	0.004	0.011	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.974	1.0	0.001	0.989	1.0	0.0	0.001	0.015	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0ABC5C1B8	CD74_MIF	simple:P04233	simple:P14174	ENSG00000019582	ENSG00000240972	True	True	False	I2D,InnateDB-All	False	0.001	0.001	0.001	0.0	0.001	0.001	0.001	0.001	0.001	0.889	0.884	0.882	0.831	0.865	0.862	0.876	0.885	0.87	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.624	0.624	0.616	0.514	0.589	0.583	0.602	0.623	0.598	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.969	0.97	0.97	0.952	0.963	0.963	0.967	0.97	0.962
CPI-SS0ABC5C1B8	CD74_MIF	simple:P04233	simple:P14174	ENSG00000019582	ENSG00000276701	True	True	False	I2D,InnateDB-All	False	0.001	0.001	0.001	0.0	0.001	0.001	0.001	0.001	0.001	0.889	0.884	0.882	0.831	0.865	0.862	0.876	0.885	0.87	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.624	0.624	0.616	0.514	0.589	0.583	0.602	0.623	0.598	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.969	0.97	0.97	0.952	0.963	0.963	0.967	0.97	0.962
CPI-SS0C4E86714	TNFRSF1B_GRN	simple:P20333	simple:P28799	ENSG00000028137	ENSG00000030582	True	True	False	IMEx,InnateDB-All,MINT	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.999	0.0	0.136	1.0	1.0	1.0	0.792	1.0	0.0	1.0	0.0	0.334	1.0	1.0	1.0	0.937	0.997	0.0	0.996	0.0	0.18	1.0	1.0	1.0	0.827	0.332	0.0	0.361	0.0	0.0	1.0	1.0	1.0	0.242	1.0	0.0	1.0	0.0	0.255	1.0	1.0	1.0	0.896	1.0	0.0	1.0	0.0	0.276	1.0	1.0	1.0	0.913	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS05D23BCE8	HLA-DPB1_TNFSF13B	simple:HLADPB1	simple:Q9Y275	ENSG00000223865	ENSG00000102524	True	True	False	InnateDB-All	False	1.0	0.108	1.0	0.096	0.122	1.0	1.0	1.0	0.177	1.0	0.697	1.0	0.668	0.717	1.0	1.0	1.0	0.82	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.973	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.418	1.0	0.397	0.447	1.0	1.0	1.0	0.58	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.973	1.0	1.0	1.0	0.999	1.0	1.0	1.0	1.0	0.973	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.973	1.0	0.97	1.0	0.961	0.982	1.0	1.0	1.0	0.971
CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	ENSG00000204642	ENSG00000131042	False	False	True	curated	False	1.0	0.847	1.0	0.233	0.0	1.0	1.0	1.0	1.0	1.0	0.883	1.0	0.282	0.0	1.0	1.0	1.0	1.0	1.0	0.171	1.0	0.078	0.0	1.0	1.0	1.0	1.0	1.0	0.94	1.0	0.416	0.0	1.0	1.0	1.0	1.0	1.0	0.465	1.0	0.112	0.0	1.0	1.0	1.0	1.0	1.0	0.986	1.0	0.493	0.0	1.0	1.0	1.0	1.0	1.0	0.245	1.0	0.083	0.0	1.0	1.0	1.0	1.0	1.0	0.792	1.0	0.212	0.0	1.0	1.0	1.0	1.0	1.0	0.852	1.0	0.427	0.001	1.0	1.0	1.0	1.0
CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	ENSG00000204642	ENSG00000275463	False	False	True	curated	False	1.0	0.847	1.0	0.233	0.0	1.0	1.0	1.0	1.0	1.0	0.883	1.0	0.282	0.0	1.0	1.0	1.0	1.0	1.0	0.171	1.0	0.078	0.0	1.0	1.0	1.0	1.0	1.0	0.94	1.0	0.416	0.0	1.0	1.0	1.0	1.0	1.0	0.465	1.0	0.112	0.0	1.0	1.0	1.0	1.0	1.0	0.986	1.0	0.493	0.0	1.0	1.0	1.0	1.0	1.0	0.245	1.0	0.083	0.0	1.0	1.0	1.0	1.0	1.0	0.792	1.0	0.212	0.0	1.0	1.0	1.0	1.0	1.0	0.852	1.0	0.427	0.001	1.0	1.0	1.0	1.0
CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	ENSG00000204642	ENSG00000276146	False	False	True	curated	False	1.0	0.847	1.0	0.233	0.0	1.0	1.0	1.0	1.0	1.0	0.883	1.0	0.282	0.0	1.0	1.0	1.0	1.0	1.0	0.171	1.0	0.078	0.0	1.0	1.0	1.0	1.0	1.0	0.94	1.0	0.416	0.0	1.0	1.0	1.0	1.0	1.0	0.465	1.0	0.112	0.0	1.0	1.0	1.0	1.0	1.0	0.986	1.0	0.493	0.0	1.0	1.0	1.0	1.0	1.0	0.245	1.0	0.083	0.0	1.0	1.0	1.0	1.0	1.0	0.792	1.0	0.212	0.0	1.0	1.0	1.0	1.0	1.0	0.852	1.0	0.427	0.001	1.0	1.0	1.0	1.0
CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	ENSG00000204642	ENSG00000277751	False	False	True	curated	False	1.0	0.847	1.0	0.233	0.0	1.0	1.0	1.0	1.0	1.0	0.883	1.0	0.282	0.0	1.0	1.0	1.0	1.0	1.0	0.171	1.0	0.078	0.0	1.0	1.0	1.0	1.0	1.0	0.94	1.0	0.416	0.0	1.0	1.0	1.0	1.0	1.0	0.465	1.0	0.112	0.0	1.0	1.0	1.0	1.0	1.0	0.986	1.0	0.493	0.0	1.0	1.0	1.0	1.0	1.0	0.245	1.0	0.083	0.0	1.0	1.0	1.0	1.0	1.0	0.792	1.0	0.212	0.0	1.0	1.0	1.0	1.0	1.0	0.852	1.0	0.427	0.001	1.0	1.0	1.0	1.0
